source_id,title,organization,publication_date,effective_date,date_checked,url_or_path,relevance,evidence_class
S-01,vareya-ai repository (public GitHub),josbreda/vareya-ai,ongoing,"HEAD at commit 195408c, 2026-08-31",2026-09-01,https://github.com/josbreda/vareya-ai,"Primary source repo for the live vareya.ai site: content, claims register, experiments, knowledge articles",A
S-02,content/claims-register.md v1.5,Vareya (internal),2026-08-21 (header date); implementation notes to 2026-08-24,2026-08-24 (latest recorded change),2026-09-01,vareya-ai repo: content/claims-register.md,Authoritative source of truth for all approved Vareya claims,A
S-03,docs/CLAIMS.md (quick reference),Vareya (internal),2026-08-21 (synced to v1.3),stale relative to S-02,2026-09-01,vareya-ai repo: docs/CLAIMS.md,Identified as stale/conflicting with the authoritative register,A (as evidence of the conflict itself)
S-04,docs/claims-register.md (orphaned Hermes audit),"Vareya (internal, 'Hermes Agent 1')",2026-08-06,superseded,2026-09-01,vareya-ai repo: docs/claims-register.md,"Identified as an orphaned, differently-structured document sharing a confusing name with S-02",A (as evidence of the conflict itself)
S-05,docs/ENTITY-SUBMISSION-PACK.md,Vareya (internal),2026-08-21,2026-08-21,2026-09-01,vareya-ai repo: docs/ENTITY-SUBMISSION-PACK.md,Canonical entity data table; source of the '42 countries' and 'VERBODEN 1.000+ brands' findings,A
S-06,docs/VAREYA-DOMAIN-ENTITY-AUDIT.md,"Vareya (internal, 'Agent 2')","2026-08-10, updated 2026-08-21",2026-08-21 (approval date),2026-09-01,vareya-ai repo: docs/VAREYA-DOMAIN-ENTITY-AUDIT.md,Original P0 finding on www.vareya.com and go.vareya.com; domain-consolidation approval record,A
S-07,marketing/experiments.csv,Vareya (internal),decision_date 2026-08-10,not yet launched,2026-09-01,vareya-ai repo: marketing/experiments.csv,Source of the FS-TRUST-001 'PostNL strategic partner' finding,A
S-08,HOS/projects/jmconcepts/concept-samen-verzonden.md,JMConcepts (internal),June 2026 (v2),unexecuted proposal,2026-09-01,/opt/aos/HOS/projects/jmconcepts/concept-samen-verzonden.md,Source of the 'Samen Verzonden'/cooperative claim investigation and a second instance of the '1.000+ merken' figure,A
S-09,Live fetch: jmconcepts.cloud homepage,JMConcepts,n/a,last-modified 2026-07-05,2026-09-01,https://jmconcepts.cloud/,Direct confirmation of the live '1.000+ merken' claim,A
S-10,Live fetch: www.vareya.com homepage and internal pages,Vareya (legacy WordPress),n/a,live,2026-09-01,https://www.vareya.com/,"Direct confirmation of '1000 brands', Etten-Leur address, staging text, old phone number, and the /faq/ redirect loop",A
S-11,Live fetch: go.vareya.com routing behaviour (35 paths tested),n/a (infrastructure test),n/a,live,2026-09-01,https://go.vareya.com/*,Basis for the CONTRADICTED finding on the 335-route redirect map claim,A
S-12,Production database query (aos-postgres),Vareya lead-CRM system of record,n/a,"live, queried directly",2026-09-01,"internal: aos-postgres, leads/lead_organizations/lead_contacts/lead_follow_up_tasks tables",Source of all figures in LEAD-ENGINE-STATUS.md,A
S-13,docs/RAYMOND-AI-DECISIONS.md,Vareya (internal),2026-08-21,2026-08-21,2026-09-01,vareya-ai repo: docs/RAYMOND-AI-DECISIONS.md,"Source of the 667+900=1,567 AI-visibility figure and the ShipBob-dominance finding","A (as a summary; underlying raw data unrecoverable, see B-07)"
S-14,docs/growth-sprint-01/GOODIE-BASELINE.md,Vareya (internal),2026-08-18,2026-08-18,2026-09-01,vareya-ai repo: docs/growth-sprint-01/GOODIE-BASELINE.md,Confirms Goodie AI-visibility tool was never connected,A
S-15,vareya-ai-lead-engine/baselines/BASELINE-V1.md,Vareya AI Lead Engine project (internal),2026-08-21 (frozen),2026-08-21,2026-09-01,/opt/aos/HOS/projects/vareya-ai-lead-engine/baselines/BASELINE-V1.md,"The one real, small, honestly-labeled AI-visibility proxy benchmark that does exist",A
S-16,Extra kosten bij bestellen buiten de EU,Nederlandse Douane (Dutch Customs),undated content page,1 July 2026 (stated on page),2026-09-01,https://www.douane.nl/onderwerpen/online-shoppen-en-pakketpost/shoppen-bij-een-buitenlandse-webwinkel/extra-kosten-bij-bestellen/,"Confirms the EUR150 threshold removal and its scope (imports from outside the EU only, not intra-EU)",A
S-17,EU Customs Reform overview,"European Commission, DG TAXUD",undated page; cites a 26 March 2026 political agreement (unverified against primary legal text),1 July 2026 - 1 July 2028 (stated as temporary),2026-09-01,https://taxation-customs.ec.europa.eu/customs-4/eu-customs-reform_en,"Corroborates the EUR3/category duty and timeline, though specific regulation numbers could not be independently verified against EUR-Lex","B (corroborated on the core fact, unverified on instrument numbers)"
S-18,VAT One-Stop Shop portal (IOSS),"European Commission, DG TAXUD",describes regime from 1 July 2021,"1 July 2021, no update found for 2026",2026-09-01,https://vat-one-stop-shop.ec.europa.eu/index_en,No 2026 IOSS changes found,"B (negative finding, WebSearch quota exhausted before full confirmation possible)"
S-19,Introduction to structured data markup,Google Search Central,2025-12-10,current,2026-09-01,https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data,Current structured-data best practice,A
S-20,Organization structured data,Google Search Central,2026-04-15,current,2026-09-01,https://developers.google.com/search/docs/appearance/structured-data/organization,Recommends sameAs/legalName consistency across domains — directly relevant to the vareya.ai/vareya.com fragmentation,A
S-21,Google Search Central changelog (FAQPage deprecation),Google,deprecation notice 2026-05-08; docs removed 2026-06-15,2026-05-07,2026-09-01,https://developers.google.com/search/updates,Confirms FAQ rich results discontinued in Google Search,A
S-22,AI features in Search and your website,Google Search Central,"2025-12-10 (page); related updates 2026-05-15, 2026-05-27",current,2026-09-01,https://developers.google.com/search/docs/appearance/ai-features,Official statement that no special optimization is needed for AI Overviews beyond normal indexing,A
S-23,IndexNow protocol,IndexNow initiative (Microsoft Bing + partners),undated,current,2026-09-01,https://www.indexnow.org/,Confirms Google is not a participant; only Bing/Naver/Seznam/Yandex/Yep benefit,A
S-24,Schema.org Releases,Schema.org,v30.0: 2026-03-19,current,2026-09-01,https://schema.org/docs/releases.html,"Current schema.org version check, no action needed for Vareya's use case",A
