topic,claim_or_fact,status,primary_source,source_url,evidence_date,checked_date,evidence_class,impact_vareya,recommended_action,confidence
"EU €3-heffing (tijdelijk douanetarief)","Vanaf 1 juli 2026 tot 1 juli 2028 geldt €3 invoerrecht per item in zendingen met intrinsieke waarde ≤ €150; vervangt de geschrapte vrijstelling (Hoofdstuk V Titel II Verordening 1186/2009 geschrapt)",AANGENOMEN_EN_LIVE,Council Regulation (EU) 2026/382 (EUR-Lex OJ),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202600382,2026-07-01,2026-09-01,A,"4 knowledge-artikelen + content-draaipunt gebaseerd op deze heffing — feitenbasis klopt","Artikel-wording per 'productcategorie' preciseren naar 'per item/declaratieregel op basis van tariefindeling'",high
"EU €3-heffing berekening","Vast bedrag per ITEM (niet per pakket), op basis van tariefindeling (niet per hoeveelheid); per aangifte = som over declaratieregels",VERIFIED,DG TAXUD guidance 2 juni 2026 + Delegated Reg (EU) 2026/1022,https://taxation-customs.ec.europa.eu/document/download/053e5b4e-f0be-4f20-9a23-3e3b659a66,2026-06-02,2026-09-01,A,"Claims-audit: 'levy per product category' is bijna juist maar onnauwkeurig geformuleerd","Wording alignen: 'a fixed €3 customs duty per item, applied per declaration line based on tariff classification'",high
IOSS,"Bestaande BTW-regelingen voor zendingen ≤ €150 (IOSS, Special Arrangement, standaard) blijven ongewijzigd door de €3-heffing",VERIFIED,DG TAXUD guidance,https://taxation-customs.ec.europa.eu/document/download/053e5b4e-f0be-4f20-9a23-3e3b659a66,2026-06-02,2026-09-01,A,"Geen impact op register (IOSS blijft ongeclaimd)","Geen actie — wel feit vastleggen voor content",high
"€150-vrijstelling","Duty-relief voor ≤€150 is per 1 juli 2026 geëlimineerd (tijdelijk vervangen door €3-tarief)",VERIFIED,Council Regulation (EU) 2026/382,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202600382,2026-07-01,2026-09-01,A,"Kennisbankclaims 'vrijstelling verdwenen' kloppen","Geen actie",high
"Handling fee","Aparte handelingskostenvergoeding (fee, geen douanerecht); hoogte nog onbekend; verwachte invoering 1 november 2026 (NL Douane); lidstaten uiterlijk 1-11-2026 (EP-deal; formele goedkeuring nog vereist)",AANGENOMEN_DEELS_VOORGESTELD,NL Douane handling-fee-pagina + EP press room,https://www.douane.nl/onderwerpen/invoer-en-uitvoer/invoer/aangifte-doen/handling-fee,2026-04-16,2026-09-01,B,"Content moet handling fee NIET als ingegaan feit presenteren — 'verwacht november 2026'","Kennisbank-artikel over parcel levy: handling fee als 'aangekondigd, bedrag onbekend' markeren",high
"Customs Data Hub","Data hub operationeel voor e-commerce per 1 juli 2028; gefaseerde uitrol naar alle goederen uiterlijk 1 maart 2034",VERIFIED,Council modernising EU customs union,https://www.consilium.europa.eu/en/policies/modernising-the-eu-customs-union,2026-03-26,2026-09-01,A,"Roadmap voor content over 2028+; geen claims nu","Timeline opnemen in content-backlog (2028-onderwerp)",high
"NL Douane implementatie","Sinds 1 juli 2026: aangever betaalt €3 per aangifteregel (DECO/DMS); zekerheid stellen verplicht; DECO-maandafrekening vanaf 5 augustus 2026",VERIFIED,NL Douane,https://www.douane.nl/onderwerpen/invoer-en-uitvoer/invoer/aangifte-doen/aangifte-doen-bij,2026-07-01,2026-09-01,A,"Operationeel relevant voor Vareya-prospects die zelf aangeven","Geen site-actie; interne notitie voor kwalificatiegesprekken",high
"ShipBob Summer 2026 Release","Bobby AI Agent + MCP-ondersteuning gelanceerd",VERIFIED,ShipBob blog (officieel),https://www.shipbob.com/blog/summer-release-26/,2026-08-06,2026-09-01,B,"Concurrent beweegt naar AI-agent-laag — ShipBob blijft #1 in AI-antwoorden","Monitor; Vareya blijft op operationele transparantie differentiëren",medium
"Hive EU-uitbreiding","Nieuwe fulfilmentcenters in Polen en Spanje",VERIFIED,Hive blog (officieel),https://www.hive.app/blog/hive-expands-european-footprint-with-additional-fulfillment-centers-in-poland-and-spain,2026-08,2026-09-01,B,"Meer EU-capaciteit van platform-spelers; prijsdruk","Vareya: niche (500+/weekends/custom SLA) als verdediging",medium
"DHL eCommerce Trends 2026","'Old rules do not apply in the age of AI' — 29.000 shoppers / 5.800 bedrijven / 29 landen",VERIFIED,DHL Group persbericht (officieel),https://group.dhl.com/en/media-relations/press-releases/2026/dhl-ecommerce-trends-report-2026-old-rules-do-not-apply-in-the-age-of-ai.html,2026-06-02,2026-09-01,B,"Primaire bron voor content over EU e-commerce 2026","Bron gebruiken in content-backlog-artikelen",medium
"Amazon MCF","MCF Preferred Pricing (tiered) vanaf 15-01-2026; packaging/Buy-with-Prime-updates april 2026; 3,5% fuel-surcharge in MCF-terms",VERIFIED,Amazon Seller Forums/Sell on Amazon (officieel),https://sellercentral.amazon.com/seller-forums/discussions/t/b7f0d409-b080-48c5-99bf-7d9a778a0673,2026-01-15,2026-09-01,B,"FBM-vs-MCF-complexiteit groeit — kans voor Vareya FBM-positionering","Content: 'FBM of MCF: wat past bij jouw merk' (backlog)",medium
"FAQPage rich results","FAQ rich results tonen niet meer in Google Search sinds 7 mei 2026; documentatie verwijderd 15-06-2026",VERIFIED,Google Search Central changelog,https://developers.google.com/search/docs/appearance/faq,2026-05-07,2026-09-01,A,"FAQPage-schema op vareya.ai levert geen Google rich result meer; Organization/WebSite-schema blijft nuttig","Accomplishment-rapportages bijstellen; schema behouden (harmless)",high
"Google AI features","AI Mode en AI Overviews kunnen verschillende modellen gebruiken; geen speciale optimalisatie voor AI-features behalve normale indexering",VERIFIED,Google Search Central AI-features doc,https://developers.google.com/search/docs/appearance/ai-features,2026-08,2026-09-01,A,"Vareya hoeft geen aparte AI-rankingtactiek te voeren","Contentkwaliteit + indexering voorop; llms.txt niet als rankingfactor claimen",high
"Site reputation policy update","Google-site-reputatiebeleid update gepubliceerd 28 augustus 2026",VERIFIED,Google Search Central blog,https://developers.google.com/search/blog/2026/08/update-site-reputation-policy,2026-08-28,2026-09-01,B,"Relevant voor directory/listing-strategie","In de gaten houden bij externe profielen",medium
"IndexNow","IndexNow blijft Bing/meewerkende engines-standaard voor snelle URL-submissie",VERIFIED,Bing Webmaster Tools + indexnow.org,https://www.bing.com/webmasters/help/indexnow-0z209wby,2026-09-01,2026-09-01,A,"Vareya's 6u-IndexNow-cron is correct kanaal","Behouden; monitoring staat in data/indexnow-state.json",high
"llms.txt status","Geen officiële rankingfactor; OpenAI/Perplexity gebruiken llms.txt wel voor hun EIGEN docs-index; communityvoorstel (llmstxt.org)",VERIFIED,OpenAI bots-doc + Perplexity crawlers-doc + llmstxt.org,https://developers.openai.com/api/docs/bots,2026-09-01,2026-09-01,A,"Vareya's llms.txt is nuttig als machine-leesbare samenvatting, niet als rankingtool","Zo blijven communiceren; '42 destinations' was gefixt (nu 41)",high
