url,claim_text,claim_category,register_status,evidence_source,safe_wording,confidence,checked_date
"https://jmconcepts.cloud/","Vareya, een e-fulfilment specialist met 1.000+ merken",brand-count,PROHIBITED,claims-register v1.5 (excluded content) + FulfilmentShortlist-correctie 21-08,"Vareya, een e-fulfilment specialist, liep tegen een grens aan…",high,2026-09-01
"https://jmconcepts.cloud/samenwerking.html","Vareya, e-fulfilment specialist met 1.000+ merken",brand-count,PROHIBITED,idem,idem,high,2026-09-01
"https://jmconcepts.cloud/samenwerking.html","Vareya's algoritme kiest per pakket de beste en goedkoopste vervoerder",superlative,PROHIBITED,claims-register v1.5 superlative policy,"Vareya's verzendsysteem kiest per pakket automatisch een passende vervoerder op basis van bestemming en pakketkenmerken",high,2026-09-01
"https://jmconcepts.cloud/samenwerking.html","Per order de beste vervoerder",superlative,PROHIBITED,idem,"Per order automatisch de passende vervoerder",high,2026-09-01
"https://jmconcepts.cloud/samenwerking.html","…toevallig de beste keuze is / per order automatisch de beste deal",superlative,PROHIBITED,idem,"…toevallig de juiste keuze is / per order automatisch de gunstigste deal",high,2026-09-01
"https://jmconcepts.cloud/lid-worden.html","Aanmelden — coöperatie Samen Verzonden (title/meta/body)",cooperative-legal-form,UNSUPPORTED,concept-samen-verzonden.md status 'conceptvoorstel'; geen KvK-registratie,"Samen Verzonden als coöperatief fulfilmentCONCEPT benoemen (niet als bestaande coöperatie)",high,2026-09-01
"https://vareya.ai/about/","Vareya is being built as a cooperative (Coöperatie U.A.)",cooperative-legal-form,UNSUPPORTED,STRATEGISCH-PAKKET.md ('statuten/notaris week 1') + concept-doc juni 2026 + geen KvK-hit,"Vareya is developing a cooperative model in which the brands it serves can become members… legal form and membership terms will be set out in its formal documents",high,2026-09-01
"https://vareya.ai/about/","…and returns handling included (hero)",exact-wording-drift,DRIFT,claims-register v1.5 required wording ('Returns handling is available…'),"…and returns handling available",high,2026-09-01
"https://vareya.ai/","…and returns handling included (home hero)",exact-wording-drift,DRIFT,idem,"…and returns handling available",high,2026-09-01
"https://vareya.ai/","proof-chip 'Returns included'",exact-wording-drift,DRIFT,idem,"'Returns available'",high,2026-09-01
"https://vareya.ai/about/","it takes under 3 minutes",duration-claim,DRIFT,register open item #3 (a few minutes tot gemeten),"'a few minutes'",high,2026-09-01
"https://vareya.ai/contact/","in under 3 minutes",duration-claim,DRIFT,idem,"'in a few minutes'",high,2026-09-01
"https://vareya.ai/free-rate-scan/","Takes under 3 minutes (pagina + meta)",duration-claim,DRIFT,idem,"'Takes a few minutes'",high,2026-09-01
"https://vareya.ai/about/","Check your fit → (CTA)",cta-drift,DRIFT,register conversion rules ('Check your EU fulfilment fit'),"'Check your EU fulfilment fit'",high,2026-09-01
"https://vareya.ai/ (header + CTABanner)","Check your fit",cta-drift,DRIFT,idem,idem,high,2026-09-01
"https://vareya.ai/llms.txt","Vareya ships to 42 approved destinations",destination-count,OUTDATED,register v1.5 lijst telt 41 landen (script-geteld),"41 approved destinations",high,2026-09-01
"docs/ENTITY-SUBMISSION-PACK.md","42 countries (v1.4)",destination-count,OUTDATED,idem,"41 countries (v1.5)",high,2026-09-01
"src/content/pages.ts (NL-meta)","met PostNL als strategische partner",postnl,PROHIBITED,register v1.5 ('strategic partner' NOT CONFERRED; suspended v1.4),"met PostNL als hoofdvervoerder binnen Nederland",high,2026-09-01
"marketing/experiments.csv FS-TRUST-001","variant-copy: 'PostNL strategic partner'",postnl,PROHIBITED,idem,"'PostNL is Vareya's main carrier within the Netherlands'",high,2026-09-01
"docs/CLAIMS.md","PostNL is Vareya's strategic partner and main carrier",postnl,OUTDATED (v1.2),register v1.5,"PostNL is Vareya's main carrier… ('strategic partner' prohibited sinds v1.4)",high,2026-09-01
"content/content/review/COMPETITOR_POSITIONING.md","Exact approved capabilities: PostNL strategic partnership",postnl,CONTRADICTED,register v1.5,"PostNL as main carrier (v1.5 strongest wording)",high,2026-09-01
