query_or_question,buyer_stage,target_audience,evidence,existing_url_overlap,recommended_action,claim_risk,business_value,priority
"What does the EU parcel levy mean for ecommerce brands in 2026?",consideration,DTC-merken die naar EU verzenden,"Primaire bronnen: Verordening (EU) 2026/382; DG TAXUD-guidance 02-06-2026; NL Douane (per-item, ≤€150, tijdelijk tot 2028; handling fee verwacht nov-2026)","/knowledge/eu-parcel-levy-2026-what-it-means/ (24-08)","Bestaand artikel preciseren: 'per item/declaratieregel op basis van tariefindeling' i.p.v. 'per product category'; handling fee als aangekondigd markeren",medium,hoog,P1
"How is the EU parcel levy calculated per declaration line?",consideration,operations-leads,"DG TAXUD Q&A (€3 × declaratieregels; IOSS ongewijzigd); Uitv.Reg. 2026/1200","gedeeltelijk in EU parcel levy-artikel","Uitbreiden met rekenvoorbeelden H1/H6/H7",laag,hoog,P2
"Amazon FBM or MCF for small brands selling in Europe?",consideration,Amazon-sellers,"Amazon MCF Preferred Pricing (15-01-2026) + 3,5% fuel-surcharge + april-2026 packaging-updates","/amazon-fbm-fulfilment/ (E03)","Vergelijkingsartikel FBM vs MCF met actuele feiten; CTA scan",laag,hoog,P1
"How to switch fulfilment providers without disrupting orders?",decision,3PL-switchers,"E04-cluster; sectorstandaarden data-pack/parallel run","/knowledge/switching-fulfilment-providers-europe/ (E04)","Bestaande gids = dekkend; alleen actualiseren",laag,laag,P3
"What information does a 3PL need to prepare a quote?",consideration,fouders/ops,"E02/E03-quote-inputs; 9-inputs-gids live","/knowledge/fulfilment-quotation-requirements/ (17-08)","Bestaand; geen actie",laag,laag,GEEN
"Weekend fulfilment: which EU 3PLs process Saturday/Sunday?",consideration,DTC-brands met weekend-orders,"Register v1.5 weekend-fact; geen publieke vergelijkingsdata","Geen specifieke pagina","Nieuwe pagina/FAQ-secetie 'weekend fulfilment' met register-fact + kwalificatievragen",laag,middel,P2
"Customs Data Hub: what changes in 2028 for ecommerce?",informational,strategische planners,"Council-pagina: data hub e-commerce per 01-07-2028; volledige uitrol 01-03-2034","niet afgedekt","Backlog-artikel 2028-roadmap (na P0-werk)",laag,middel,P3
"PostNL as main carrier: what it means for NL shipments",informational,NL-merken,"Register v1.5: main carrier + strongest wording (eigen contracten, direct contact PostNL International)","Home + eu-fulfilment dekken de zin","Geen nieuwe pagina; llms.txt en entity-pack al v1.5",laag,laag,GEEN
"Cooperative fulfilment: how member ownership would work",consideration,merken die structuur overwegen,"Conceptstatus: voorstel juni-2026; nog geen rechtsvorm (KvK-check 01-09 leeg); why-vareya-ai + knowledge-gids bestaan","/knowledge/what-is-cooperative-fulfilment/ + /why-vareya-ai/","Bestaande content is de veilige visie-framing; about-pagina nu gealigneerd (live)","n.v.t.",middel,GEEN
"EU fulfilment from the Netherlands for 500 orders/month",high-buyer-intent,groeiende DTC-merken,"Volume-claim (register), weekend, cut-off 23:00, all-in rates","/eu-fulfilment/ + /nl/-pagina's","Bestaande pagina's dekkend; AI-visibility afwachten",laag,hoog,GEEN
"Shipping from the US to the EU after the parcel levy",consideration,US-brands,"Verordening 2026/382 + NL Douane + DHL trends 2026","/knowledge/shipping-to-eu-from-us-after-parcel-levy/ (24-08) + /eu-fulfilment-us-brands/","Artikel actualiseren op per-item-wording",medium,hoog,P1
"UK brands and EU fulfilment after the parcel levy",consideration,UK-brands,"idem","/knowledge/uk-brands-eu-parcel-levy/ (24-08)","idem actualiseren",medium,hoog,P1
"Ecommerce warehousing in Breda",high-buyer-intent,DTC/ops in NL/BE/DE,"Bagven Park 6; entity-pack; hreflang NL↔EN live","/nl/fulfilment-noord-brabant/ + /eu-fulfilment/","Lokale SEO-basis is aanwezig; corporatie-media-agenda voor autoriteit",laag,hoog,GEEN
