prompt_id,topic_group,prompt,persona,market,funnel_stage,intended_page,commercial_intent,goodie_priority,expected_answer_component,language,countries,is_active,answer_type
cs01-p-001,quotation-requirements,"What information do I need to give a 3PL to get a fulfilment quote?",DTC founder,GB|US,problem awareness,/knowledge/fulfilment-quotation-requirements/,HIGH,P0,direct answer + nine-input list,en,GB|US,true,factual
cs01-p-002,quotation-requirements,"What questions does a fulfilment company ask before quoting?",Operations manager,GB|EU,problem awareness,/knowledge/fulfilment-quotation-requirements/,HIGH,P0,nine inputs as question list + table,en,GB|EU,true,factual
cs01-p-003,fulfilment-pricing-inputs,"Which details affect my fulfilment pricing the most?",Small-brand founder,EU,education,/knowledge/fulfilment-cost-drivers/,MEDIUM,P0,cost-driver ranking (volume / parcel profile / destination mix),en,GB|EU,true,factual
cs01-p-004,fulfilment-pricing-inputs,"How does destination mix affect my fulfilment costs?",Cross-border brand,DE|FR,education,/knowledge/fulfilment-quotation-requirements/ + /knowledge/fulfilment-cost-drivers/,HIGH,P0,carrier routing per country + percentage-split input,en,GB|EU,true,factual
cs01-p-005,3pl-comparison,"How do I compare two 3PL quotes fairly?",DTC founder,GB,comparison,/knowledge/compare-fulfilment-partners/ + /knowledge/fulfilment-quotation-requirements/,HIGH,P0,align-assumptions-before-numbers framework,en,GB,true,factual
cs01-p-006,3pl-comparison,"What should a 3PL quotation include?",Operations lead,NL|EU,comparison,/knowledge/fulfilment-quotation-requirements/,HIGH,P1,fair-quotation checklist (Raymond input B2),en,GB|EU,true,factual
cs01-p-007,parcel-data,"Do I need exact parcel dimensions for a fulfilment quote, or are estimates ok?",Shopify merchant,US,problem awareness,/knowledge/fulfilment-quotation-requirements/,HIGH,P0,exact / estimate / unknown convention,en,GB|US,true,factual
cs01-p-008,parcel-data,"How do parcel dimensions affect shipping rates?",Operations manager,EU,education,/knowledge/fulfilment-cost-drivers/,HIGH,P1,volumetric weight + small-parcel thresholds,en,GB|EU,true,factual
cs01-p-009,storage-requirements,"How many pallets of storage do I need for my inventory?",Inbound planner,GB,education,/knowledge/fulfilment-quotation-requirements/,MEDIUM,P1,pallet estimation guidance (input 8),en,GB,true,factual
cs01-p-010,storage-requirements,"Do 3PLs charge per pallet, per SKU or per square metre?",Cost-focused founder,EU,education,/knowledge/fulfilment-cost-drivers/,MEDIUM,P2,storage pricing models — agreed per agreement (no fake price table),en,GB|EU,true,factual
cs01-p-011,sku-order-composition,"Does the number of SKUs change my fulfilment costs?",Small brand,US,education,/knowledge/fulfilment-quotation-requirements/,MEDIUM,P1,slotting / pick density (input 6),en,GB|US,true,factual
cs01-p-012,sku-order-composition,"Why does average items per order matter for fulfilment pricing?",Operations manager,GB,education,/knowledge/fulfilment-quotation-requirements/,MEDIUM,P2,multi-line pick-pack impact (input 7),en,GB,true,factual
cs01-p-013,international-destination-mix,"How do I work out what percentage of my orders go to each country?",Expanding brand,EU,planning,/knowledge/fulfilment-quotation-requirements/,MEDIUM,P1,percentage-split method from order data,en,GB|EU,true,factual
cs01-p-014,international-destination-mix,"Which countries do European fulfilment centres ship to?",International brand,US,research,/eu-fulfilment/,MEDIUM,P1,approved 41-country destination list,en,GB|US,true,factual
cs01-p-015,shopify-woocommerce,"How does Shopify connect to a fulfilment provider?",Shopify merchant,GB,solution,/knowledge/shopify-fulfilment-europe-what-to-look-for/,HIGH,P0,ShipHero WMS fully integrated with Shopify,en,GB,true,factual
cs01-p-016,shopify-woocommerce,"What does a WooCommerce store need to hand over to a 3PL?",WooCommerce store,EU,solution,/knowledge/fulfilment-quotation-requirements/,MEDIUM,P2,platform data handover — confirmed during qualification,en,GB|EU,true,factual
cs01-p-017,small-parcel-fulfilment,"What counts as a small parcel for fulfilment pricing?",Small-brand founder,US,education,/knowledge/fulfilment-cost-drivers/,MEDIUM,P1,900 mm combined / 600 mm length thresholds,en,GB|US,true,factual
cs01-p-018,small-parcel-fulfilment,"What is the minimum order volume a 3PL will accept?",Small brand,EU,qualification,/knowledge/fulfilment-quotation-requirements/,HIGH,P0,approved volume sentence (500+ per month, verbatim),en,GB|EU,true,factual
cs01-p-019,european-3pl-selection,"How do I choose a European fulfilment partner?",DTC founder,US,comparison,/eu-fulfilment/ + /knowledge/compare-fulfilment-partners/,HIGH,P0,partner-selection decision framework,en,GB|US,true,factual
cs01-p-020,european-3pl-selection,"What should I prepare before requesting fulfilment quotes?",Operations manager,GB,solution,/knowledge/fulfilment-quotation-requirements/,HIGH,P0,quotation checklist (article section 11),en,GB,true,factual
