company_name,website,country,estimated_volume,ecommerce_platform,product_category,fit_rationale,outreach_angle,fit_score,intent_score,status
Dieux Skin,dieuxskin.com,US,1000+,Shopify,Skincare,"Shopify DTC skincare brand, international shipping questions detected — likely needs EU fulfilment. Volume 1000+ mo based on brand maturity.","'Your customers are asking about international shipping. We can help with EU fulfilment from Breda, NL — customs clearance support is available.'",40,0,RESEARCHED
Prequel,prequelskin.com,US,500-1000,Shopify,Skincare/Vitamin C,"Shopify skincare with viral growth. US→Canada shipping pain indicates EU expansion likely on roadmap.","'Growing US skincare brands shipping internationally. PostNL handles NL deliveries through Vareya's own shipping agreements.'",35,0,RESEARCHED
Starface World,starface.world,US,1000+,Shopify,Cosmetics,"Shopify-powered cosmetics brand with global DTC presence. Known for international shipping — EU fulfilment would reduce cross-border friction.","'DTC cosmetics brand with global customers. Vareya specialises in cosmetics fulfilment from Breda.'",38,0,RESEARCHED
Farmacy Beauty,farmacybeauty.com,US,2000+,Shopify,Skincare,"Established Shopify skincare brand. US→EU shipping complexity at scale. High volume qualifies for Vareya's sweet spot.","'Your EU customers deserve faster delivery. Netherlands-based fulfilment with PostNL as our main carrier within the Netherlands.'",45,0,RESEARCHED
Glow Recipe,glowrecipe.com,US,2000+,Shopify,Skincare,"Major skincare brand using Shopify. International customer base would benefit from EU warehousing.","'Scaling skincare fulfilment to Europe. Customs clearance support + weekend fulfilment available.'",43,0,RESEARCHED
Byoma,byoma.com,UK,1000+,Shopify,Skincare,"UK-based Shopify skincare brand. Post-Brexit EU fulfilment complexity. Royal Mail direct-entry route available.","'UK skincare brand serving EU customers. Breda warehouse + customs clearance = seamless.'",42,0,RESEARCHED
Trinny London,trinnylondon.com,UK,2000+,Shopify,Cosmetics,"UK cosmetics brand on Shopify. Post-Brexit distribution to EU is a natural expansion point.","'Post-Brexit cosmetics fulfilment to Europe. Our Royal Mail direct-entry route simplifies UK shipments.'",40,0,RESEARCHED
Kosas,kosas.com,US,1000+,Shopify,Cosmetics,"Clean cosmetics brand on Shopify. International shipping presence indicates EU market interest.","'Clean cosmetics fulfilment for EU markets. Breda warehouse + 5-carrier network.'",38,0,RESEARCHED
Nécessaire,necessaire.com,US,500-1000,Shopify,Body Care,"Shopify body care brand with growing international presence. EU expansion natural next step.","'Body care brand going global. EU fulfilment from the Netherlands, customs clearance included.'",35,0,RESEARCHED
Summer Fridays,summerfridays.com,US,2000+,Shopify,Skincare,"Established skincare brand. Strong US DTC + growing EU presence. High volume = great Vareya fit.","'Established skincare brand expanding to EU. Our all-in rates mean no hidden fulfilment costs.'",48,0,RESEARCHED
Tower 28,tower28beauty.com,US,1000+,Shopify,Cosmetics,"Shopify beauty brand. Clean cosmetics niche. International customer base detecting EU need.","'Clean beauty brand with EU potential. Vareya specialises in cosmetics and supplements fulfilment.'",37,0,RESEARCHED
Sol de Janeiro,soldejaneiro.com,US,5000+,Salesforce,Skin/Body,"Massive body care brand. While not Shopify, volume alone justifies outreach. ShipHero WMS compatibility.","'Major body care brand. Netherlands fulfilment hub with PostNL and automated carrier selection.'",40,0,RESEARCHED
K18 Hair,k18hair.com,US,2000+,Shopify,Hair Care,"Professional hair care brand on Shopify. Scientific positioning = premium logistics needed.","'Professional haircare fulfilment to Europe. All-in rates + customised SLAs for predictable costs.'",42,0,RESEARCHED
Moon Juice,moonjuice.com,US,500-1000,Shopify,Supplements,"Shopify supplements brand. Wellness/supplements = Vareya specialisation. Growing international reach.","'Supplements fulfilment for EU. Vareya specialises in supplements and cosmetics logistics.'",40,0,RESEARCHED
Ritual,ritual.com,US,5000+,Custom,Supplements,"Massive supplements brand. Volume alone (5000+/mo) makes this a prime target. Not Shopify but ShipHero works.","'Major supplements brand. EU fulfilment from Breda with all-in rates — no hidden costs.'",42,0,RESEARCHED
Haeckels,haeckels.com,UK,500-1000,Shopify,Skincare,"UK Shopify skincare brand. Natural positioning. EU customers would benefit from Breda warehousing.","'Natural skincare brand serving EU. Royal Mail direct-entry for UK, PostNL for Netherlands.'",37,0,RESEARCHED
Beauty Pie,beautypie.com,UK,2000+,Shopify,Cosmetics/Skincare,"UK Shopify beauty brand. Membership model = recurring orders. Needs reliable EU fulfilment backbone.","'Membership beauty brand with recurring orders. Weekend fulfilment = Saturday and Sunday processing.'",43,0,RESEARCHED
Tatcha,tatcha.com,US,5000+,Shopify,Skincare,"Luxury skincare on Shopify. High volume, premium positioning. EU customers expect fast, reliable delivery.","'Luxury skincare deserves premium fulfilment. Netherlands hub + automated carrier selection.'",45,0,RESEARCHED
Olio E Osso,olioeosso.com,US,500-1000,Shopify,Cosmetics,"Shopify cosmetics. Natural/clean positioning. Small but growing — ideal for cooperative model.","'Natural cosmetics brand ready for EU expansion. Cooperative fulfilment model = no hidden costs.'",33,0,RESEARCHED
Jones Road,jonesroadbeauty.com,US,2000+,Shopify,Cosmetics,"Bobbi Brown-founded Shopify beauty brand. Massive brand recognition. EU market clearly underserved.","'Major beauty brand. EU customers will appreciate fast delivery from our Breda warehouse.'",43,0,RESEARCHED
