claim_id,exact_claim,current_live_urls,internal_source,external_source,evidence_class,owner,approved_wording,prohibited_wording,conditions,last_verified,expiry_or_recheck_date,status,required_action
C-001,"""1.000+ merken"" / ""1,000+ brands"" / ""empowering over 1000 brands worldwide""","https://jmconcepts.cloud/ (live); https://www.vareya.com/ (live, worded 'over 1000 brands worldwide')","content/claims-register.md v1.5 lists 'brand-count claims' under Content excluded from every page; docs/ENTITY-SUBMISSION-PACK.md lists '1.000+ brands' under VERBODEN; docs/VAREYA-DOMAIN-ENTITY-AUDIT.md flagged '1000 brands' on www.vareya.com as a P0 finding on 2026-08-10, still unresolved","None found. No CRM export, contract count, or filing found anywhere supporting any brand-count figure.",D (no evidence; internal register explicitly names this exact claim as forbidden),Raymond/Jos,"Do not state a brand count. Use: 'multiple years of experience fulfilling for large international brands. No client names, logos or figures are used to support this.' (content/claims-register.md v1.5)","""1,000+ brands"" / ""1.000+ merken"" / any specific brand-count figure",N/A,2026-09-01,2026-09-01 (immediate — live on 2 properties),PROHIBITED,"Remove from jmconcepts.cloud homepage (patch prepared, CHANGE-PROPOSALS.md) and www.vareya.com homepage (blocked on Hostinger access, BLOCKERS.md). Also present in concept-samen-verzonden.md (internal doc, lower urgency)."
C-002,"PostNL is Vareya's ""strategic partner""","Not found live on vareya.ai (current copy uses 'main carrier', commits 926aed1/195408c). FOUND designed-but-unlaunched in marketing/experiments.csv (FS-TRUST-001, decision_date 2026-08-10).","content/claims-register.md v1.5: 'Strategic partner remains NOT CONFERRED by this evidence and stays prohibited as a claim.' Suspended 21 Aug 2026, re-evaluated 24 Aug 2026, still not approved.","Evidence class A per the register: e-mail from Gerrit van Estrik, Senior Accountmanager PostNL International, re: 2026 agreement + meeting request (not independently re-inspected by this audit; register's characterisation only).","B (internally reviewed class-A evidence exists, but per the register's own conclusion does not support 'strategic partner' specifically)",Raymond (commercial approval),"""Vareya ships customer orders through its own shipping agreements with PostNL and works directly with PostNL International and operational teams on day-to-day shipping and selected customer projects."" (v1.5 exact) — or the shorter live 'main carrier' sentence.","""strategic partner"" (any form, any language)",N/A,2026-08-24,N/A,CONTRADICTED (found in a not-yet-launched experiment design),Correct marketing/experiments.csv's FS-TRUST-001 variant copy before this experiment is ever allowed to launch — it currently proposes displaying 'PostNL strategic partner' text.
C-003,EU shipping destinations — country count,"https://vareya.ai/llms.txt (states '42 approved destinations'); docs/ENTITY-SUBMISSION-PACK.md (states '42 countries', citing v1.4)",content/claims-register.md v1.5 'Approved shipping destinations' — counted programmatically: exactly 41 countries.,"N/A (internal list; the 4 latest additions were Raymond-approved 9 Aug 2026, see C-004)","B (internally approved list is precise; the count discrepancy is documentation drift, not fabrication)",Jos (content maintenance),"Use the exact 41-country list from content/claims-register.md v1.5, or state destinations without a specific count.","""42 countries""/""42 destinations"" (does not match the current v1.5 list)",Recount required whenever the approved list changes,2026-09-01,2026-09-01,OUTDATED,"Correct vareya.ai/llms.txt and docs/ENTITY-SUBMISSION-PACK.md from '42' to 41, or remove the specific count."
C-004,"Shipping to Saudi Arabia, South Korea, Turkey, United Arab Emirates",https://vareya.ai/eu-fulfilment-south-korean-brands/ (live) and the approved destinations list sitewide,"content/claims-register.md v1.5: added 9 August 2026 by Raymond, explicitly 'without a separate per-country shipping confirmation, superseding the earlier recommendation to require one'","None — explicitly a judgement call, not backed by operational per-country confirmation","C (approved by the commercial owner, but by the register's own account without the normal verification step)",Raymond,May be stated as approved destinations per the v1.5 list.,N/A,Lower evidence-class approval than other register facts; worth periodic recheck that operational capability to these 4 countries still holds.,2026-08-09,Recommend recheck at next register review,VERIFIED_WITH_CONDITIONS,No immediate action; flag for Raymond/Jos to confirm operational capability to these 4 destinations has been tested at least once since approval.
C-005,Customs clearance support available for shipments into and out of Europe,Present on multiple vareya.ai pages per the 10 Aug 2026 changelog entry,"content/claims-register.md v1.5: approved 9 August 2026 (A-015) — reverses an earlier 'NO customs claims' line in docs/CLAIMS.md, which is now stale relative to the current register","None external found in this audit — internal commercial-owner approval only, not verified against an external customs-broker record","B (approved internally, exact wording defined, no external verification obtained)",Raymond,"""Customs clearance support is available for shipments into and out of Europe. Contact Vareya to discuss specific requirements."" (verbatim, v1.5)",Do not conflate with the still-unconfirmed IOSS/VAT/DDP capabilities,N/A,2026-08-09,N/A,VERIFIED_WITH_CONDITIONS,No action required if live wording matches the exact approved sentence; spot-check no page conflates this with IOSS/VAT/DDP.
C-006,Weekend fulfilment (Saturday/Sunday processing) available on a structural basis,"Per the 10 Aug 2026 changelog entry, integrated into live page copy","content/claims-register.md v1.5, approved 9 August 2026",None found,B (internal approval only),Raymond,"""Weekend fulfilment (Saturday and Sunday order processing) is available on a structural basis."" (verbatim, v1.5)",Any 'guaranteed' wording (register excludes guaranteed dispatch/delivery claims),N/A,2026-08-09,N/A,VERIFIED_WITH_CONDITIONS,No action required if wording matches; confirm no guarantee language has been added.
C-007,"Fixed, all-in rates per agreement — no hidden costs","Per the 10 Aug 2026 changelog entry (content/request-fulfilment-quote.md, content/contact.md)","content/claims-register.md v1.5, approved 9 August 2026",None found,B (internal approval only),Raymond,"""Vareya's fulfilment rates are fixed and all-in per agreement — no hidden costs beyond what the agreement sets out."" (verbatim, v1.5)","Any specific percentage/savings figure (e.g. an unrelated '13% cost reduction' figure found in an internal JMConcepts proposal doc — not part of this register, must not be published)",N/A,2026-08-09,N/A,VERIFIED_WITH_CONDITIONS,No action required if wording matches the register exactly.
C-008,Customer support included at no additional charge; custom SLAs available,Per the 10 Aug 2026 changelog entry,"content/claims-register.md v1.5, approved 9 August 2026",None found,B (internal approval only),Raymond,"""Customer support is included at no additional charge. Clients can agree customised SLAs with Vareya, within boundaries confirmed during qualification."" (verbatim, v1.5)",N/A,N/A,2026-08-09,N/A,VERIFIED_WITH_CONDITIONS,No action required if wording matches.
C-009,Automatic carrier selection by destination/parcel characteristics,Per the 10 Aug 2026 changelog entry,"content/claims-register.md v1.5, approved 9 August 2026",None found,B (internal approval only),Raymond,"""Vareya's shipping system can automatically select an appropriate carrier for each shipment, based on destination and parcel characteristics."" (verbatim, v1.5)",N/A,N/A,2026-08-09,N/A,VERIFIED_WITH_CONDITIONS,No action required if wording matches.
C-010,"Vareya is being built as / will become a cooperative (""Coöperatie U.A."")","Not found live on vareya.ai, vareya.com, or jmconcepts.cloud in this audit.","content/claims-register.md contains no mention of any cooperative structure. Sole source: HOS/projects/jmconcepts/concept-samen-verzonden.md — an UNEXECUTED CONCEPT PROPOSAL authored by jmconcepts (external consultant), v2, dated June 2026, status 'conceptvoorstel', naming Vareya only as 'beoogd partner'. Its own next-steps section states the Vareya conversation had not yet happened at time of writing.",None,"D (no evidence this cooperative exists, is incorporated, or has been agreed to by Vareya — a third party's unexecuted pitch)",Jos/Raymond (confirm or deny),"If ever mentioned publicly: state accurately that this is an unexecuted concept proposal by JMConcepts, not an existing or committed Vareya initiative.","""Coöperatie U.A."" / ""being built as a cooperative"" / ""Samen Verzonden"" presented as live or committed",N/A,2026-09-01,2026-09-01,NEEDS_OWNER_CONFIRMATION,"Confirm with Jos/Raymond whether the Samen Verzonden fase-1 conversation with Vareya has happened; if not, this remains purely a JMConcepts-side idea."
