destination,counts_as_country,confirmation_status,confirmation_evidence,row_not_country
Australia,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Austria,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Belgium,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Brazil,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Bulgaria,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Canada,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
China,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Croatia,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Cyprus,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Czech Republic,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Denmark,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Estonia,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Finland,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
France,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Germany,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Greece,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Hong Kong,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Hungary,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Ireland,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Italy,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Japan,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Latvia,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Lithuania,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Luxembourg,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Malta,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
New Zealand,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Norway,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Poland,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Portugal,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Romania,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Saudi Arabia,yes,OWNER_CONFIRMED 2026-09-01 (Decision 3),"Raymond decision 3, 2026-09-01",
Slovakia,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Slovenia,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
South Korea,yes,OWNER_CONFIRMED 2026-09-01 (Decision 3),"Raymond decision 3, 2026-09-01",
Spain,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Sweden,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Switzerland,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
Turkey,yes,OWNER_CONFIRMED 2026-09-01 (Decision 3),"Raymond decision 3, 2026-09-01",
United Arab Emirates,yes,OWNER_CONFIRMED 2026-09-01 (Decision 3),"Raymond decision 3, 2026-09-01",
United Kingdom,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
United States,yes,"APPROVED (register v1.2, 2026-08-09)",Claims register v1.5/1.6 approved list,
